691acc63-2019-04-15T20:23:01Z-00011-000	9307 12
825e2c01-2019-04-18T17:53:57Z-00001-000	9245 3
633553a2-2019-04-18T15:04:50Z-00006-000	14843 1
9e2a4551-2019-04-18T15:42:17Z-00005-000	41962 1
c232aee7-2019-04-18T13:22:16Z-00006-000	35637 5
3395c96c-2019-04-18T15:25:48Z-00001-000	34176 5
691acc63-2019-04-15T20:23:01Z-00015-000	9307 16
ca2aacb0-2019-04-18T19:03:17Z-00003-000	20073 5
b91d4292-2019-04-18T13:39:18Z-00008-000	33560 6
f34bcbed-2019-04-18T14:27:46Z-00000-000	39756 3
e3bc0428-2019-04-18T16:16:18Z-00000-000	27718 5
407b211c-2019-04-18T18:31:01Z-00002-000	11698 5
af83a7e2-2019-04-19T12:44:04Z-00007-000	3882 8
8d358e35-2019-04-18T14:45:58Z-00002-000	30657 4
2f9c8c00-2019-04-18T13:07:25Z-00001-000	42627 3
5779be30-2019-04-18T13:27:20Z-00000-000	41465 7
b1a437ad-2019-04-18T13:04:58Z-00001-000	8196 1
691acc63-2019-04-15T20:23:01Z-00010-000	9307 11
ab74e7d9-2019-04-18T15:43:14Z-00000-000	38520 3
4d043ef3-2019-04-18T16:00:18Z-00009-000	19909 1
31f5da82-2019-04-17T11:47:27Z-00026-000	27258 27
2c7b8e1b-2019-04-18T13:08:09Z-00002-000	35398 5
16666c34-2019-04-19T12:45:14Z-00031-000	32262 32
f634c3eb-2019-04-18T13:21:54Z-00002-000	4574 4
63356ea3-2019-04-18T13:22:32Z-00005-000	30335 5
2aef9f36-2019-04-15T20:22:21Z-00013-000	3343 14
90bdd4aa-2019-04-18T18:38:03Z-00006-000	32662 5
fe7366cf-2019-04-18T18:50:18Z-00002-000	24709 5
893cdecf-2019-04-18T15:23:44Z-00005-000	25398 4
6a304d9c-2019-04-18T16:59:34Z-00007-000	44173 1
447458de-2019-04-18T15:29:29Z-00006-000	19580 4
f2058623-2019-04-18T17:00:34Z-00002-000	34873 5
869af6cc-2019-04-19T12:47:53Z-00011-000	38422 12
e03e7a42-2019-04-18T14:35:21Z-00008-000	42670 6
825e2c01-2019-04-18T17:53:57Z-00003-000	9245 2
28ad608b-2019-04-18T18:47:01Z-00006-000	4209 7
d9e09240-2019-04-18T19:13:37Z-00007-000	8628 1
61f8dce6-2019-04-18T16:30:14Z-00005-000	26426 1
d14fa3f8-2019-04-18T12:59:50Z-00004-000	36961 4
6334dfa0-2019-04-18T16:32:19Z-00003-000	31601 1
cb3acdd6-2019-04-18T16:57:26Z-00004-000	18069 1
53335a7b-2019-04-18T19:16:09Z-00005-000	38732 4
178f5720-2019-04-18T16:56:44Z-00000-000	34200 4
39352d62-2019-04-19T12:45:34Z-00013-000	4806 14
a6458ad5-2019-04-18T14:29:07Z-00003-000	6793 3
48d1e746-2019-04-18T14:56:42Z-00003-000	30892 1
39352d62-2019-04-19T12:45:34Z-00026-000	4806 27
c41d90c8-2019-04-19T12:47:40Z-00010-000	840 11
17fefda-2019-04-18T13:20:44Z-00004-000	19421 8
1284bea4-2019-04-18T18:47:40Z-00006-000	35676 7
b848f2a1-2019-04-18T15:12:52Z-00004-000	16222 1
b70675aa-2019-04-18T18:38:06Z-00002-000	8228 4
a1d0c23-2019-04-18T14:20:52Z-00002-000	20300 7
6231a821-2019-04-18T17:03:32Z-00006-000	17355 1
699b6134-2019-04-19T12:44:08Z-00001-000	30330 2
31f5da82-2019-04-17T11:47:27Z-00020-000	27258 21
abe4d584-2019-04-18T18:55:53Z-00006-000	33023 6
33964227-2019-04-18T13:13:58Z-00006-000	1409 7
ff1891f5-2019-04-18T18:54:28Z-00004-000	19959 1
c183b9ff-2019-04-18T12:53:55Z-00003-000	33830 2
bc1853d3-2019-04-18T19:22:06Z-00005-000	4164 4
bfe387d4-2019-04-18T18:30:11Z-00005-000	41203 3
ad5e91d7-2019-04-18T14:04:29Z-00001-000	39728 3
a91317cd-2019-04-18T18:41:12Z-00007-000	35826 1
173e9f20-2019-04-18T13:26:12Z-00001-000	11317 5
2abd620-2019-04-18T12:50:32Z-00003-000	31919 2
550f1f76-2019-04-18T19:36:06Z-00002-000	17891 1
f34bcbed-2019-04-18T14:27:46Z-00001-000	39756 2
34796c60-2019-04-18T15:27:35Z-00001-000	42335 1
cb41bc64-2019-04-18T13:27:14Z-00003-000	4432 1
9556d53a-2019-04-18T19:35:15Z-00000-000	43829 3
173e9f20-2019-04-18T13:26:12Z-00003-000	11317 1
255646d7-2019-04-18T19:49:20Z-00005-000	15397 1
db49fdec-2019-04-18T14:34:53Z-00008-000	26191 1
c183b9ff-2019-04-18T12:53:55Z-00002-000	33830 5
f16e9818-2019-04-18T19:21:34Z-00007-000	16793 6
3682d256-2019-04-18T13:37:27Z-00004-000	21655 4
a4b139f8-2019-04-18T15:24:31Z-00004-000	92 1
5986c100-2019-04-18T13:20:46Z-00005-000	44344 1
53335a7b-2019-04-18T19:16:09Z-00002-000	38732 2
e051460a-2019-04-18T15:04:02Z-00005-000	17110 5
d98e8ed9-2019-04-18T19:01:11Z-00003-000	29759 1
824ed8eb-2019-04-18T18:32:31Z-00007-000	10887 2
6702bd00-2019-04-18T17:57:26Z-00007-000	8865 1
633571aa-2019-04-18T13:14:08Z-00000-000	31137 5
c183b9ff-2019-04-18T12:53:55Z-00005-000	33830 1
2540d7ca-2019-04-18T19:27:56Z-00003-000	13119 5
39e75959-2019-04-19T12:45:40Z-00028-000	8210 29
7ae7276a-2019-04-18T15:39:36Z-00003-000	29556 1
59d20097-2019-04-18T15:00:04Z-00003-000	15665 1
632d6d43-2019-04-18T12:57:22Z-00003-000	35373 4
9f22a9d6-2019-04-18T15:33:37Z-00005-000	43990 1
e86339d8-2019-04-18T13:25:05Z-00007-000	2026 7
b1a437ad-2019-04-18T13:04:58Z-00002-000	8196 2
893cdecf-2019-04-18T15:23:44Z-00004-000	25398 1
ea2e1abf-2019-04-18T18:45:35Z-00001-000	15398 4
dff8f1b4-2019-04-18T19:05:14Z-00005-000	32824 1
a6235621-2019-04-19T12:44:35Z-00008-000	16626 4
4ad44663-2019-04-15T20:24:48Z-00025-000	14437 26
5b164d38-2019-04-18T13:19:36Z-00003-000	13457 1
407b211c-2019-04-18T18:31:01Z-00005-000	11698 1
16666c34-2019-04-19T12:45:14Z-00043-000	32262 44
3b867dfe-2019-04-15T20:22:42Z-00019-000	44232 20
5986c100-2019-04-18T13:20:46Z-00003-000	44344 2
b893461e-2019-04-18T15:07:31Z-00001-000	11158 5
8906c1ae-2019-04-18T16:24:58Z-00008-000	2270 1
53335a7b-2019-04-18T19:16:09Z-00004-000	38732 1
d4181057-2019-04-18T18:59:23Z-00005-000	28259 1
5986c100-2019-04-18T13:20:46Z-00000-000	44344 6
bff98b90-2019-04-18T12:50:26Z-00006-000	14108 1
3bd8c5e1-2019-04-18T13:10:51Z-00004-000	40153 8
c948fdc-2019-04-18T13:36:26Z-00009-000	42502 1
632d6d24-2019-04-18T13:01:44Z-00007-000	6201 1
38e71333-2019-04-18T13:57:39Z-00004-000	28456 4
3395c96c-2019-04-18T15:25:48Z-00002-000	34176 4
3e538b22-2019-04-18T15:10:30Z-00001-000	43472 3
480d5f00-2019-04-18T17:09:34Z-00002-000	14826 3
17fefda-2019-04-18T13:20:44Z-00005-000	19421 3
17fefda-2019-04-18T13:20:44Z-00002-000	19421 9
bfe387d4-2019-04-18T18:30:11Z-00003-000	41203 4
5445ece8-2019-04-19T12:45:56Z-00001-000	34433 2
cb3acdd6-2019-04-18T16:57:26Z-00002-000	18069 2
38e71333-2019-04-18T13:57:39Z-00003-000	28456 1
b235f67a-2019-04-18T15:13:16Z-00005-000	14436 1
66aa873d-2019-04-18T18:51:36Z-00005-000	10165 7
b373631f-2019-04-18T12:59:00Z-00005-000	3745 5
407b211c-2019-04-18T18:31:01Z-00004-000	11698 4
53335a7b-2019-04-18T19:16:09Z-00003-000	38732 5
9c3e3c49-2019-04-18T15:23:57Z-00008-000	40343 6
ea2e9e22-2019-04-18T16:28:43Z-00005-000	9587 1
488ca9f3-2019-04-18T18:30:04Z-00000-000	3484 3
f5aaf1ba-2019-04-18T14:44:51Z-00005-000	22810 2
